timestamp_ns,cpu_usage_usec,memory_current_bytes,memory_peak_bytes,pids_current,load1,load5,load15,disk_avail_bytes
1786809091909996760,47650609224,23930818560,44949463040,30,0.00,0.00,0.00,76604522496
1786809093946115197,47665913418,26583298048,44949463040,47,0.00,0.00,0.00,76604461056
1786809095984313174,47682824954,29286973440,44949463040,60,0.65,0.14,0.04,76604456960
1786809098031293843,47695677456,30048346112,44949463040,444,0.65,0.14,0.04,76605468672
1786809100069913717,47711774403,31587135488,44949463040,472,0.65,0.14,0.04,76605427712
1786809102131322808,47734384747,33299890176,44949463040,470,1.23,0.27,0.09,76605542400
1786809104179427653,47758182592,35365429248,44949463040,470,1.23,0.27,0.09,76605444096
1786809106235288929,47778615091,35670986752,44949463040,470,1.94,0.43,0.14,76605444096
1786809108287449028,47793596132,35720097792,44949463040,470,1.94,0.43,0.14,76605526016
1786809110333358723,47807242383,35826130944,44949463040,470,1.94,0.43,0.14,76605526016
1786809112386129634,47826405440,36185866240,44949463040,470,2.42,0.55,0.18,76605394944
1786809114465124106,47847216486,36393054208,44949463040,470,2.42,0.55,0.18,76603506688
1786809116518086551,47868519169,36528447488,44949463040,470,4.95,1.11,0.36,76601192448
1786809118574871825,47888695193,36587859968,44949463040,470,4.95,1.11,0.36,76598820864
1786809120636449775,47910861632,36633706496,44949463040,470,6.56,1.51,0.50,76596744192
1786809122708263821,47931809658,36613091328,44949463040,470,6.56,1.51,0.50,76593205248
1786809124749957808,47951823223,36712681472,44949463040,470,6.56,1.51,0.50,76591763456
1786809126798235439,47973416036,36765904896,44949463040,470,6.83,1.65,0.55,76589617152
1786809128870094109,47994565403,36822560768,44949463040,470,6.83,1.65,0.55,76587737088
1786809130949205763,48016441085,36908478464,44949463040,470,7.17,1.80,0.60,76585623552
1786809133003142431,48037599847,36851990528,44949463040,470,7.17,1.80,0.60,76583235584
1786809135056175284,48060212064,36969938944,44949463040,470,7.17,1.80,0.60,76582248448
1786809137116908513,48083462762,37160357888,44949463040,470,8.35,2.14,0.72,76580519936
1786809139186035964,48103287484,37207752704,44949463040,470,8.35,2.14,0.72,76579434496
1786809141276202842,48127680306,37300948992,44949463040,470,8.89,2.35,0.80,76578422784
1786809143353544322,48149225464,37272616960,44949463040,470,8.89,2.35,0.80,76575399936
1786809145402566998,48172212634,37328453632,44949463040,470,8.89,2.35,0.80,76575498240
1786809147483277149,48193038171,37394964480,44949463040,470,8.90,2.46,0.84,76572794880
1786809149534831220,48217283025,37419450368,44949463040,470,8.90,2.46,0.84,76572471296
1786809151590472026,48239156825,37480984576,44949463040,470,9.31,2.66,0.91,76569939968
1786809153630405199,48259173368,37502918656,44949463040,470,9.31,2.66,0.91,76568715264
1786809155679526307,48282903353,37530677248,44949463040,470,9.52,2.81,0.97,76567400448
1786809157743135635,48304443140,37560373248,44949463040,470,9.52,2.81,0.97,76565393408
1786809159799779690,48327415367,37592838144,44949463040,470,9.52,2.81,0.97,76564807680
1786809161850433959,48349291940,37620088832,44949463040,470,12.20,3.48,1.20,76561907712
1786809163899340884,48372025530,37584068608,44949463040,470,12.20,3.48,1.20,76560494592
1786809165967452775,48394563285,37647577088,44949463040,470,12.27,3.64,1.26,76559400960
1786809168029790115,48415728042,37661474816,44949463040,470,12.27,3.64,1.26,76556820480
1786809170113334869,48438969481,37698813952,44949463040,470,12.27,3.64,1.26,76555153408
1786809172193307276,48460278137,37683429376,44949463040,470,12.49,3.83,1.33,76552937472
1786809174241204666,48482694857,37670064128,44949463040,470,12.49,3.83,1.33,76550787072
1786809176286175744,48503870025,37709475840,44949463040,470,12.85,4.04,1.42,76548857856
1786809178335043319,48527137947,37743017984,44949463040,470,12.85,4.04,1.42,76547973120
1786809180386729853,48548979755,37814800384,44949463040,470,12.85,4.04,1.42,76546150400
1786809182428443054,48571279408,37842956288,44949463040,470,12.46,4.11,1.45,76545531904
1786809184491838783,48592959063,37867454464,44949463040,470,12.46,4.11,1.45,76543897600
1786809186551095347,48614976307,37863661568,44949463040,470,12.18,4.19,1.50,76541018112
1786809188600744875,48637403695,37864022016,44949463040,470,12.18,4.19,1.50,76538474496
1786809190659699289,48658864141,37825409024,44949463040,470,14.17,4.74,1.69,181855055872
1786809192723828607,48681719030,37876105216,44949463040,470,14.17,4.74,1.69,181853532160
1786809194773097371,48702601231,37898231808,44949463040,470,14.17,4.74,1.69,181852123136
1786809196850139428,48724172383,37906034688,44949463040,470,13.68,4.79,1.72,181849534464
1786809198895843673,48745984207,37890035712,44949463040,470,13.68,4.79,1.72,181847613440
1786809200944784302,48766048491,37921390592,44949463040,470,14.50,5.11,1.84,181844692992
1786809202996423864,48788136758,37922979840,44949463040,470,14.50,5.11,1.84,181842108416
1786809205054177187,48809739620,38000451584,44949463040,470,14.50,5.11,1.84,181840244736
1786809207098872367,48831604803,38026620928,44949463040,470,14.38,5.24,1.90,181838086144
1786809209156207440,48853761640,38021853184,44949463040,470,14.38,5.24,1.90,181834878976
1786809211215801548,48874885128,38045753344,44949463040,470,14.11,5.34,1.95,181833015296
1786809213270040712,48897238324,38005813248,44949463040,470,14.11,5.34,1.95,181830766592
1786809215310993865,48918384693,38039646208,44949463040,470,14.11,5.34,1.95,181829177344
1786809217375076020,48941661909,38044196864,44949463040,470,14.66,5.60,2.05,181826486272
1786809219417608262,48962412247,37993029632,44949463040,470,14.66,5.60,2.05,181823954944
1786809221468939927,48984832590,38025236480,44949463040,470,14.37,5.69,2.10,181823279104
1786809223515761448,49006292640,38033002496,44949463040,470,14.37,5.69,2.10,181820665856
1786809225565124515,49029127862,38036459520,44949463040,470,14.37,5.69,2.10,181819240448
1786809227618171158,49051281862,38065893376,44949463040,470,14.26,5.81,2.16,181815627776
1786809229675429731,49073666454,38055665664,44949463040,470,14.26,5.81,2.16,181815001088
1786809231743557104,49094448235,38090670080,44949463040,471,13.92,5.88,2.20,181812060160
1786809233785145531,49116984438,38096089088,44949463040,471,13.92,5.88,2.20,181810487296
1786809235830849948,49137586679,38081687552,44949463040,471,15.61,6.36,2.38,181809049600
1786809237882706066,49159921126,38103605248,44949463040,471,15.61,6.36,2.38,181806514176
1786809239943392265,49181546736,38113615872,44949463040,471,15.61,6.36,2.38,181804728320
1786809241994669419,49203898109,38148333568,44949463040,471,16.20,6.64,2.49,181803487232
1786809244038081293,49224305280,38100348928,44949463040,471,16.20,6.64,2.49,181800960000
1786809246086627443,49246152262,38114316288,44949463040,471,16.50,6.86,2.58,181799170048
1786809248134548629,49268095370,38197895168,44949463040,471,16.50,6.86,2.58,181796438016
1786809250185262313,49289219937,38170157056,44949463040,471,16.50,6.86,2.58,181794668544
1786809252232046174,49310522392,38212354048,44949463040,470,18.14,7.36,2.77,181792378880
